hospital_name,city,county,state,zip_code,address,hospital_type,System,Beds,link_financial_assistance,financial_assistance_info,fap_link,policy_available,qualifying_incom_free_care,qualifying_incom_discounted_care,asset_test,provision_for_medical_bill,residency_restriction,reports_unpaid_bills,uses_third_party,sells_debt,sues_patients,garnishes_wages,restricts_care,
ROANE MEDICAL CENTER,HARRIMAN,,TN,,8045 ROANE MEDICAL CENTER DRIVE,Other not-for-profit (including NFP Corporation),Covenant Health,52,"no, but easy to find patient and visitors --> financial assistance",yes,https://www.roanemedical.com/wp-content/uploads/sites/10/2022/03/Financial-Assistance-Policy-English-2022.pdf,included in FAP,annual household income at or below 200% FPG,annual household income 201-300% FPG = responsible for 90% medical expenses ,yes according to the FAP,"No standard specified, but may be granted on a case-by-case basis, according to Teresa Gross",no,yes according to FAP,"Not mentioned in the policy, but this is an action the hospital may take according to Teresa Gross",The hospital will not take this action according to the policy,This is an action the hospital may take according to the policy,Garnishing wages is an action the hospital may take according to the policy. The hospital does not currently place liens on property according to Teresa Gross,The hospital will not take this action according to the policy,
GREENEVILLE COMMUNITY HOSPITAL,GREENEVILLE,,TN,,1420 TUSCULUM BOULEVARD,Other not-for-profit (including NFP Corporation),Ballad Health,121,no but easy to find-- billing link on homepage --> financial assistance,yes,https://www.balladhealth.org/sites/default/files/Financial-Assistance-Policy-092421.pdf,https://www.balladhealth.org/sites/default/files/Credit-Collections-Policy-Patient-Accounts-092421.pdf,annual household income below 225% FPG,annual household income between 225-450% FPG,Yes according to the FAP,"Yes, but no standards specified",no,Yes according to policy,"yes, according to FAP and Collections policy",Unclear; not mentioned in policy,Unclear; not mentioned in policy,yes according to FAP and Collections Policy,Unclear; not mentioned in policy,
CLAIBORNE MEDICAL CENTER,TAZEWELL,,TN,,1850 OLD KNOXVILLE HIGHWAY,Other not-for-profit (including NFP Corporation),Covenant Health ,105,"no, but easy to find patient and visitors --> financial assistance",yes,https://www.claibornemedicalcenter.com/wp-content/uploads/sites/17/2022/03/Financial-Assistance-Policy-English-2022.pdf,included in FAP,annual household income at or below 200% FPG,annual household income 201-300% FPG = responsible for 90% medical expenses ,yes according to FAP,"No standard specified, but may be granted on a case-by-case basis, according to Teresa Gross",no,yes according to FAP,"Not mentioned in the policy, but this is an action the hospital may take according to Teresa Gross",The hospital will not take this action according to the policy,This is an action the hospital may take according to the policy,Garnishing wages is an action the hospital may take according to the policy. The hospital does not currently place liens on property according to Teresa Gross,The hospital will not take this action according to the policy,
REGIONAL ONE HEALTH,MEMPHIS,,TN,,877 JEFFERSON AVENUE,Other not-for-profit (including NFP Corporation),No,382,yes-- about us --> financial assistance,"no, no search bar",https://regionalonehealth-valeoonlinemarke.netdna-ssl.com/wp-content/uploads/2021/11/Patient-Financial-assistance-policy-4-15-16-2.pdf?x52928,https://regionalonehealth-valeoonlinemarke.netdna-ssl.com/wp-content/uploads/2016/06/ROH_FAP_Patient_Collection_Policy.pdf?x52928,Below 300% FPL (after $25 copay),n/a,"yes, assets may be considered according to FAP","Yes, if expenses at ROH exceed family's total income for prior 12 month period, 100% financial assistance discount will be applied after $25 payment is met.",no,"Yes, according to B&C. (But not a practice of the hospital according to Angie Golding)","yes, according to FAP and Collection policy","Yes, according to B&C. (But not a practice of the hospital according to Angie Golding)","Yes, but this is only a practice of the hospital when it is determined the patient is ineligible for financial assistance.","Not mentioned in the policy but the hospital may garnish wages, but the hospital does not place liens according to Angie Golding","Yes, according to B&C. (But not a practice of the hospital according to Angie Golding)",
ASCENSION SAINT THOMAS HICKMAN HOSPITAL,CENTERVILLE,,TN,,135 EAST SWAN STREET,Other not-for-profit (including NFP Corporation),Ascension Healthcare,65,"yes, at bottom of page ""financial assistance""",yes,https://healthcare.ascension.org/-/media/project/ascension/healthcare/legacy/markets/tennessee/st-thomas/documents/financial-assistance/runningfile_eng_ascstthomas_fap.pdf,https://healthcare.ascension.org/-/media/project/ascension/healthcare/legacy/markets/tennessee/st-thomas/documents/financial-assistance/runningfile_eng_ascstthomas_billing-and-collection-policy.pdf,patients with income at or below 250% FPL,patients with income 251-400% FPL will receive discount on sliding scale,yes,"yes, for patients with a medical bill that is equal to or greater than their household's gross income","Yes, resident of the 12 counties of Middle Tennessee (listed in FAP)",yes according to the Billing and Collection policy,"yes, according to the Billing and Collection policy","yes, according to the Billing and Collection policy","yes, according to the Billing and Collection policy","yes, according to the Billing and Collection policy","yes, according to the Billing and Collection policy",
VALLEY BAPTIST MEDICAL CENTER - HARLINGEN,LAKE JACKSON,,TX,,100 MEDICAL DRIVE,"Church-operated, Non-government, not-for-profit",CommonSpirit Health,103,no,"yes, easy to find through search",https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/fap/aug2021/en_fap_chi_st_luke_s_health_brazosport_hospital.pdf,https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/fap/aug2021/en_billing_and_collections_policy.pdf,family income up to 200% FPL,family income 201-400% FPL,yes assets are considered according to FAP,no,"Yes there is a ""CommonSpirit Entity service area"", and does not include residents living outside of the United States","Yes, this is an ECA that the hospital may take according to the billing and collections policy","yes, according to the Billing and Collections policy","Yes, this is an ECA that the hospital may take according to the billing and collections policy",no not a practice of the hospital,no not a practice of the hospital,no not a practice of the hospital,
ST LUKE'S THE WOODLANDS HOSPITAL,THE WOODLANDS,,TX,,17200 ST LUKE'S WAY,"Church-operated, Non-government, not-for-profit",CommonSpirit Health,204,no,yes,https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/fap/aug2021/en_fap_chi_st_luke_s_health_all_facilities.pdf,https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/fap/aug2021/en_billing_and_collections_policy.pdf,family income at or below 200% FPL,family income 201-400% FPL,"yes, may consider ""monetary assets"" ","no, not mentioned in the policy","Yes there is a ""CommonSpirit Entity service area"", and does not include residents living outside of the United States","Yes, this is an ECA that the hospital may take according to the billing and collections policy","yes, according to the billing and collections policy","Yes, this is an ECA that the hospital may take according to the billing and collections policy",not mentioned as a potential ECA in the billing and collections policy,not mentioned as a potential ECA in the billing and collections policy,not mentioned as a potential ECA in the billing and collections policy,
CHI ST JOSEPH HEALTH BURLESON HOSPITAL,CALDWELL,,TX,,1101 WOODSON DRIVE,"Church-operated, Non-government, not-for-profit",CommonSpirit Health,12,no,yes,https://stjoseph.stlukeshealth.org/content/dam/stjoseph-stlukeshealth/pdfs/fap/aug2021/en_fap_st_joseph_health_all_locations.pdf,https://stjoseph.stlukeshealth.org/content/dam/stjoseph-stlukeshealth/pdfs/fap/aug2021/en_billing_and_collections_policy.pdf,family income at or below 200% FPL,family income 201-400% FPL,"yes, may consider ""monetary assets"" ","no, not mentioned in the policy","Yes there is a ""CommonSpirit Entity service area"", and does not include residents living outside of the United States","Yes, this is an ECA that the hospital may take according to the billing and collections policy","yes, according to the billing and collections policy","Yes, this is an ECA that the hospital may take according to the billing and collections policy",not mentioned as a potential ECA in the billing and collections policy,not mentioned as a potential ECA in the billing and collections policy,not mentioned as a potential ECA in the billing and collections policy,
VALLEY BAPTIST MEDICAL CENTER - HARLINGEN,HARLINGEN,,TX,,2101 PEASE ST,"Corporation, Investor-owned, for-profit",TENET Healthcare,432,No,yes,no,no,,below 350% FPL,,annual out of pocket medical costs exceeded 10 percent of your household income in the past 12 months,,,,,,,,
HCA HOUSTON HEALTHCARE KINGWOOD ,KINGWOOD,,TX,,22999 US HWY 59,"Corporation, Investor-owned, for-profit",HCA Healthcare,573,yes-- patient financial resources,yes,"No FAP pdf available, but some financial information found at https://hcahoustonhealthcare.com/patient-financial/charity-policy ",No,"Emergency care for patients with income under 200% of FPL, according to HCA Patient Financial Support summary","Emergency care for patients 200-400% of FPL, according to HCA Patient Financial Support summary","No, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA charity care policy, but patient liability is capped at 4% of income, according to HCA spokesman Harlow Sumerford","No, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but is a policy of the hospital, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford",
"PHYSICIANS CENTRE,THE",BRYAN,,TX,,3131 UNIVERSITY DRIVE EAST,"Corporation, Investor-owned, for-profit",No,16,no,"no, no results when ""financial assistance"" is searched",no,no,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,
ARISE AUSTIN MEDICAL CENTER,AUSTIN,,TX,,3003 BEE CAVES ROAD,"Corporation, Investor-owned, for-profit",No,19,no,"no, no search bar",no,no,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,No; no avaliable policy but not a practice of the hospital according to Erica Cook,Yes; no avaliable policy but the hospital may take this action according to Erica Cook,unclear ; no available policy,unclear ; no available policy,unclear ; no available policy,No; no avaliable policy but not a practice of the hospital according to Erica Cook,
